Date,ActualReturn,sigma_EGARCH,VaR_95,ES_95,VaR_99,ES_99
2024-06-05,0.29091057226753314,1.1389021193213544,-1.873327281708448,-2.349227988021508,-2.6494825240238407,-3.0354181239972498
2024-06-06,-0.04841683569738464,1.0493386646081113,-1.7260085083810663,-2.1644843028998904,-2.4411267715599347,-2.7967123308722166
2024-06-07,0.4590778584419919,0.9775877208674452,-1.6079887083320406,-2.0164827122952733,-2.2742091161284117,-2.605480695291361
2024-06-10,-0.38645663245282513,0.9179009106221652,-1.5098126420189275,-1.893365964363069,-2.1353568320060257,-2.446402559858559
2024-06-11,-1.1439873333723316,0.9228533200870246,-1.5179586306893502,-1.9035813627942555,-2.146877859235981,-2.4596017919892774
2024-06-12,-0.09794834379306394,1.0810534427505414,-1.7781746762366037,-2.2299027819615374,-2.514906378267254,-2.8812390085725332
2024-06-13,-0.0735580325787133,1.0128494312750482,-1.665989060588499,-2.089217493967654,-2.356240121170183,-2.6994607073034205
2024-06-14,-0.3192846568123908,0.946705445265156,-1.5571918852991002,-1.9527814468854574,-2.2023661999354833,-2.5231728151995014
2024-06-17,0.8816949786862871,0.9346872636078577,-1.5374237356107314,-1.9279913896579974,-2.1744077285871906,-2.4911417865437713
2024-06-18,0.6320028085850637,0.9026112896389353,-1.4846634534899485,-1.8618278673390265,-2.0997878547367987,-2.4056524445903573
2024-06-20,0.5316613830607331,0.8581945884922334,-1.4116044815115762,-1.7702089690164946,-1.9964591564522614,-2.2872724210733173
2024-06-21,-0.38638227059122343,0.8146922795081082,-1.3400495507982744,-1.6804761991187942,-1.895257652431174,-2.17132944855095
2024-06-24,1.0222800811215293,0.8392802893577146,-1.380493227978918,-1.7311942019466962,-1.9524579168717011,-2.2368617620521234
2024-06-25,-0.7481569018168432,0.8292510192312412,-1.3639965466357122,-1.710506698006868,-1.9291263456347985,-2.2101316086913574
2024-06-26,-0.6318425408692097,0.9242674961500192,-1.520284743315715,-1.906498401871465,-2.1501677247136484,-2.4633708741424436
2024-06-27,-0.12197309626236219,0.9794132321123608,-1.6109914071242806,-2.0202482177204097,-2.278455890332059,-2.610346073820711
2024-06-28,0.34113330111682494,0.9282349489508689,-1.5268106224449514,-1.9146821175769588,-2.159397400102262,-2.4739449857658187
2024-07-01,0.2186904537708756,0.8664960577840507,-1.4252591833852482,-1.7873325160458557,-2.0157712618906958,-2.309397615079633
2024-07-02,1.1583179972187718,0.8089654967602575,-1.330629831424709,-1.6686634909989901,-1.8819351635606179,-2.1560663457345473
2024-07-03,-0.3123904268007127,0.8071071077583736,-1.3275730535346735,-1.6648301682034732,-1.8776119042569441,-2.151113340939792
2024-07-05,-0.02406977681435052,0.8144705865569275,-1.3396848983434553,-1.6800189102290597,-1.894741917505505,-2.1707385893449125
2024-07-08,-0.26516008369172894,0.7679520012774914,-1.2631686346259234,-1.5840644285860406,-1.7865235055373012,-2.0467565943477903
2024-07-09,0.7694127405088569,0.7710040203209755,-1.268188759219123,-1.5903598673557917,-1.7936235635506426,-2.0548908789032505
2024-07-10,0.3825210866871043,0.7532336110854062,-1.238959037135585,-1.5537046166309347,-1.7522834098046403,-2.0075289315072467
2024-07-11,0.7843104417370572,0.7156892779040481,-1.1772041045307537,-1.4762614397284213,-1.664942230125907,-1.9074652408188904
2024-07-12,0.330875111354878,0.7063554493285704,-1.1618513227450358,-1.4570084319827046,-1.6432284978626825,-1.8825885881692572
2024-07-15,1.452362473644131,0.6714555560897616,-1.104446106770962,-1.3850199752183718,-1.5620392054223273,-1.7895728964206334
2024-07-16,1.1330944043143276,0.710195517749617,-1.168167673215136,-1.4649293902965022,-1.6521618328701557,-1.8928231931321313
2024-07-17,0.7559327625501489,0.7237540391080514,-1.1904694562476559,-1.4928967259534078,-1.6837036702074868,-1.928959557063493
2024-07-18,-1.2168685892080422,0.7120460134773313,-1.1712114678245253,-1.4687464315342964,-1.6564667296722455,-1.8977551606603247
2024-07-19,-1.0216074183656776,0.9366700070785888,-1.540685058399878,-1.9320812200090762,-2.1790202796450946,-2.4964262226372615
2024-07-22,0.5585371310544041,1.0725140452227233,-1.7641286172409918,-2.2122884573125097,-2.4950407689828245,-2.858479684848207
2024-07-23,0.18547280768479446,1.0031496875786619,-1.650034401988998,-2.0692097084155785,-2.3336751430433536,-2.673608812470102
2024-07-24,-1.3760951599798954,0.9220309502055309,-1.5166059526070799,-1.9018850499071902,-2.1449647408104933,-2.4574100000867367
2024-07-25,0.37506028707512407,1.139807113443328,-1.8748158645723463,-2.3510947309876222,-2.6515878551755137,-3.037830127200463
2024-07-26,1.555452334794305,1.050964972384166,-1.7286835466250494,-2.1678389087785073,-2.4449101291972957,-2.8010467894836166
2024-07-29,-0.13831872404099776,1.0453118607614018,-1.719385005468784,-2.1561781630319623,-2.4317590249919623,-2.785980035997423
