Date,ActualReturn,sigma_GJR-GARCH,VaR_95,ES_95,VaR_99,ES_99
2024-06-12,-0.09794834379306394,1.006854498602742,-1.656128273839126,-2.076851669564343,-2.3422938222929455,-2.683482927495174
2024-06-13,-0.0735580325787133,0.9441832042907877,-1.553043168084365,-1.947578788124008,-2.196498590006943,-2.5164505026874764
2024-06-14,-0.3192846568123908,0.8898932652363329,-1.4637441649236707,-1.8355942355175865,-2.070201305705805,-2.3717561850978366
2024-06-17,0.8816949786862871,0.8631860411899226,-1.419814690585127,-1.7805049024240855,-2.008071011823906,-2.3005757117833823
2024-06-18,0.6320028085850637,0.8447847578821936,-1.3895472729958476,-1.7425483396706605,-1.9652632255213476,-2.251532349839011
2024-06-20,0.5316613830607331,0.815608255043334,-1.3415561964795892,-1.682365593586668,-1.8973885301702198,-2.173770719572923
2024-06-21,-0.38638227059122343,0.7879083042270658,-1.2959938319130733,-1.6252285502706258,-1.8329488084777585,-2.0999444167545254
2024-06-24,1.0222800811215293,0.7916525534106271,-1.302152573762864,-1.632951861016057,-1.8416592346058156,-2.109923642923071
2024-06-25,-0.7481569018168432,0.79501785767557,-1.3076880066888505,-1.639893517224514,-1.8494881030280659,-2.118892899705787
2024-06-26,-0.6318425408692097,0.8691970126860534,-1.4297018588520398,-1.7929038103147168,-2.02205462258485,-2.3165962384929633
2024-06-27,-0.12197309626236219,0.8973886619520488,-1.476072995396956,-1.8510550863204427,-2.0876382059205034,-2.3917330230116955
2024-06-28,0.34113330111682494,0.8527056683767864,-1.4025760113516363,-1.758886903194977,-1.9836900188109112,-2.272643273127286
2024-07-01,0.2186904537708756,0.8133310351668904,-1.337810503106455,-1.6776683429820174,-1.8920909245519317,-2.167701440775371
2024-07-02,1.1583179972187718,0.7798887698603008,-1.2828028717234377,-1.6086865540220536,-1.8142925817528373,-2.078570639719671
2024-07-03,-0.3123904268007127,0.7944943044755611,-1.3068268383089139,-1.6388135773334442,-1.8482701361542782,-2.1174975182720157
2024-07-05,-0.02406977681435052,0.785589039037188,-1.2921789801536403,-1.6204445722594587,-1.8275533908339494,-2.09376307818971
2024-07-08,-0.26516008369172894,0.7554764374727428,-1.2426481582534181,-1.5583309233451095,-1.7575010042026635,-2.013506544288543
