Date,ActualReturn,sigma_EGARCH,VaR_95,ES_95,VaR_99,ES_99
2024-10-25,-0.03453277453662196,0.7128804604218941,-1.172584010907788,-1.4704676559340315,-1.658407943547729,-1.8999791405230977
2024-10-28,0.30867645929850696,0.6683718512189702,-1.099373863629793,-1.3786591776868176,-1.5548654351519926,-1.7813541623476508
2024-10-29,0.16168706970498548,0.6245579546937893,-1.0273064170194726,-1.2882836921775216,-1.4529390701171925,-1.6645807422799788
2024-10-30,-0.3029709804262204,0.5787802404267366,-0.9520087776737628,-1.1938574146604566,-1.3464441818535853,-1.542573327240503
2024-10-31,-1.9797856315194373,0.6062421527314257,-0.9971796037311539,-1.2505034528899845,-1.4103301431606947,-1.6157652064328496
2024-11-01,0.42115695767002137,1.105495543384772,-1.8183783541151308,-2.2803198159821503,-2.5717672071147883,-2.946382442758008
2024-11-04,-0.21561208735390025,1.0093073083999946,-1.6601627869303592,-2.081911111747516,-2.3479999111502106,-2.6900201910466155
2024-11-05,1.2018971894755204,0.9566204244937789,-1.5735005748444493,-1.9732332015265082,-2.225431890785149,-2.5495983588340607
2024-11-06,2.4561683531313605,0.9254803725728055,-1.5222797474987788,-1.90900021760267,-2.1529892972012714,-2.4666034496319758
2024-11-07,0.770242602775717,0.9769987515694429,-1.6070199400460585,-2.015267837781056,-2.272838968654129,-2.6039109659429784
2024-11-08,0.43223871770354805,0.917870246807765,-1.5097622045325951,-1.8933027137203786,-2.135285497306586,-2.4463208342243696
2024-11-11,0.09523723239217574,0.8483637944427994,-1.3954342642635518,-1.7499308642227593,-1.9735893096152273,-2.261071248975475
2024-11-12,-0.31111784923814056,0.7704305779654942,-1.267245530480862,-1.589177020464773,-1.7922895371460836,-2.0533625321828732
2024-11-13,0.0485651515410801,0.7740026308729481,-1.2731210346613502,-1.5965451397460724,-1.8005993748333005,-2.0628828183876466
2024-11-14,-0.6450883465471513,0.7068761356604188,-1.1627077755464807,-1.4580824583481025,-1.6444397954038203,-1.8839763287852394
2024-11-15,-1.2891236934423844,0.7913289113308397,-1.3016202299140915,-1.632284280353031,-1.8409063305415518,-2.109061067449719
2024-11-18,0.40890098644670303,1.0182526961861849,-1.6748766404749618,-2.100362877702211,-2.368809995009085,-2.7138615657808773
2024-11-19,0.3648712043249347,0.933972984806297,-1.53624885153333,-1.926518037625887,-2.1727460676157073,-2.4892380805245597
2024-11-20,0.03386364663642283,0.859331662745092,-1.413474802220504,-1.772554426640953,-1.9991043867230256,-2.290302967541625
2024-11-21,0.5353983406051199,0.7836273652030994,-1.288952313832744,-1.616398202517732,-1.8229898550804557,-2.0885347971914165
2024-11-22,0.30946948639432037,0.7386919366661797,-1.215040111225173,-1.523709318563793,-1.7184544164344786,-1.9687722540574855
2024-11-25,0.33863079232467896,0.687422577211261,-1.130709519374271,-1.4179553541834302,-1.5991840510630928,-1.8321284281702155
2024-11-26,0.5207896253581978,0.643900807891619,-1.0591225792575125,-1.328182443202421,-1.4979372755318476,-1.7161335896848957
2024-11-27,-0.30346597241051043,0.6160985052392316,-1.0133918609021306,-1.2708342774431438,-1.4332594478630263,-1.642034497297395
2024-11-29,0.6192849565569425,0.6386875398329738,-1.0505475163829798,-1.317428968408884,-1.4858094004668134,-1.70223911352052
2024-12-02,0.17908603149043856,0.6166917681616132,-1.0143676915717459,-1.2720580084713595,-1.434639583801256,-1.6436156700745304
2024-12-03,0.04635721159145234,0.5730159603905036,-0.942527380749401,-1.1819673604036596,-1.3330344612459186,-1.5272102861178793
2024-12-04,0.6190403582256643,0.5301104585698523,-0.8719541104635297,-1.0934656322856688,-1.233221338300791,-1.4128579325344064
2024-12-05,-0.16469558453842126,0.5227124766992096,-0.8597855131514819,-1.0782057203313864,-1.2160110589038289,-1.3931407260509092
2024-12-06,0.18939443200673978,0.5276578242602149,-0.867919886023737,-1.0884065520830477,-1.2275156576887665,-1.4063211366950528
2024-12-09,-0.5163033532133987,0.4950210531105485,-0.814237174626223,-1.021086266236942,-1.1515911745091827,-1.3193371501207902
2024-12-10,-0.3113962224765565,0.5826259920567786,-0.9583344761907918,-1.2017900958022367,-1.3553907379822225,-1.5528230791728088
2024-12-11,0.7700935315360091,0.6109918840661493,-1.0049922165441192,-1.2603007845463385,-1.4213796705534945,-1.6284242579289772
2024-12-12,-0.5165810693583239,0.6022733977802757,-0.9906515827552732,-1.242317051222389,-1.401097438517498,-1.6051876242999767
2024-12-13,-0.019874435377698063,0.6736563850097543,-1.1080661482023118,-1.3895596532187737,-1.56715909910148,-1.7954385769547463
2024-12-16,0.42609954340724343,0.6319104975336942,-1.0394002737770063,-1.3034498764611406,-1.4700436425215995,-1.684176844012595
2024-12-17,-0.41286661647275125,0.6000675659802013,-0.987023312318476,-1.2377670537171683,-1.3959659063989032,-1.5993086100187275
2024-12-18,-3.0256623579941078,0.6482409836614994,-1.0662615331142073,-1.3371349793497866,-1.5080340342070726,-1.7277010878655814
2024-12-19,-0.030704645349466375,1.5918937537492737,-2.6184322145758867,-3.283619634049699,-3.7032986497335165,-4.242737869772228
2024-12-20,1.193933126116864,1.410423627484455,-2.319940419205858,-2.909298880423268,-3.2811360072954328,-3.759081108683285
2024-12-23,0.5970360891119242,1.3083154487440376,-2.1519874110632733,-2.698679032384151,-3.0435968627604804,-3.4869409386907133
2024-12-24,1.1053748206389713,1.18966745996025,-1.9568288363817623,-2.453942306334835,-2.7675803662940943,-3.170718631768733
2024-12-26,0.0066624416308336265,1.1160931047100195,-1.8358097912978049,-2.3021795414560837,-2.5964208213737954,-2.9746272139030445
2024-12-27,-1.0582308699819798,1.009390890942489,-1.6603002679785308,-2.0820835185284032,-2.3481943532202494,-2.690242956427444
2024-12-30,-1.1477325916349201,1.1403039910207264,-1.8756331554576808,-2.352119646730285,-2.652743765271353,-3.0391544123855163
2024-12-31,-0.364457913128291,1.267625029067849,-2.0850576266767167,-2.614746382575225,-2.9489367914529496,-3.3784922535378965
2025-01-02,-0.24601731291777895,1.2084152809815465,-1.987666257786079,-2.4926136768683205,-2.811194319869886,-3.22068559095519
2025-01-03,1.2425951027439375,1.1362252429675435,-1.8689242119289815,-2.3437063608823885,-2.6432551784090825,-3.028283675072965
2025-01-06,0.5744137498315816,1.0784309471703601,-1.7738610548698783,-2.224493326740666,-2.5088055412496177,-2.8742494960594405
2025-01-07,-1.136839135071277,0.9945569025734637,-1.6359005284075838,-2.0514852607331986,-2.313685335914421,-2.650707199681874
2025-01-08,0.14598728420853746,1.1458583499598205,-1.88476926290404,-2.3635766940514475,-2.6656651363809742,-3.0539579688148946
2025-01-10,-1.538522989081681,1.0299153164654509,-1.6940599437410702,-2.124419513921349,-2.395941306901501,-2.7449449471956706
2025-01-13,0.1549346330506296,1.2728367799497915,-2.0936301940176474,-2.6254967278689456,-2.961061137037187,-3.3923826861013495
2025-01-14,0.13749835135961064,1.1384050205633467,-1.872509627013386,-2.3482026160467697,-2.648326099384961,-3.034093249318491
