Date,ActualReturn,sigma_GJR-GARCH,VaR_95,ES_95,VaR_99,ES_99
2025-01-16,-0.19250258231098272,1.0356978805876451,-1.7035714153105408,-2.136347282996432,-2.4093935626536727,-2.760356719324204
2025-01-17,0.9989888126205493,0.95774822070827,-1.575355634538317,-1.9755595212223973,-2.2280555371110817,-2.5526041773425745
2025-01-21,0.9111841536098453,0.9118259790584071,-1.4998202688027982,-1.880835125221774,-2.1212244278777335,-2.4302115658672037
2025-01-22,0.5605624445609081,0.8669946334962207,-1.426079267453721,-1.788360934552861,-2.016931122438751,-2.3107264261576277
2025-01-23,0.5443283116489006,0.8099287076458787,-1.332214172343442,-1.6706503184290913,-1.8841759271566354,-2.1586335090840967
2025-01-24,-0.2923446107859107,0.7608900541235014,-1.2515527652363432,-1.5694976597455648,-1.7700949597890279,-2.0279349923696457
2025-01-27,-1.4246366989866033,0.7308834920533331,-1.2021963627828824,-1.507602739854162,-1.7002892579098172,-1.9479610764365443
2025-01-28,0.8555640495708339,1.0303315523770482,-1.6947445908899286,-2.1252780890671454,-2.396909616429545,-2.7460543050662785
2025-01-29,-0.4493100917667192,0.9663629127322473,-1.589525541959026,-1.9933291567929872,-2.248096307586578,-2.5755641770287783
2025-01-30,0.5352829859615937,0.927115499921108,-1.5249692926481617,-1.9123730157259191,-2.156793172231781,-2.4709614142927476
2025-01-31,-0.5336161731915645,0.8616614555571697,-1.4173069703774952,-1.7773601201132643,-2.004524295278358,-2.296512364474834
2025-02-03,-0.6752291637566188,0.8543409535661131,-1.4052658161264004,-1.7622600268989284,-1.9874942610345518,-2.2770016584682002
2025-02-04,0.668592614673269,0.8774435497421392,-1.443266205238532,-1.8099140479178895,-2.041238936533474,-2.338575026323452
2025-02-05,0.40464052650461824,0.8244802792046307,-1.3561493775996993,-1.70066603145269,-1.9180279447162916,-2.197416564530862
2025-02-06,0.34694855623236265,0.7682048978180259,-1.2635846124178651,-1.5845860815191752,-1.787111830866726,-2.0474306178038995
2025-02-07,-0.919552865124551,0.7177005969516164,-1.180512429961103,-1.4804102132878239,-1.669621257916235,-1.9128258369461215
2025-02-10,0.6768132786953984,0.8423850359354401,-1.385600081648055,-1.7375984024766353,-1.9596806374722284,-2.245136576781648
2025-02-11,0.07601405909696268,0.7946621686770929,-1.307102950349639,-1.639159832971866,-1.8486606466826392,-2.1179449123290253
2025-02-12,-0.32265907611721545,0.737403499317893,-1.2129208203797437,-1.521051642343811,-1.715457062948457,-1.965338292514807
2025-02-13,1.050212466938305,0.716116528962776,-1.1779068699843211,-1.4771427359592804,-1.6659361647180602,-1.9086039564162698
2025-02-14,-0.004915336877786558,0.7158099032238353,-1.177402515525508,-1.476510255120456,-1.6652228465821493,-1.907786733136521
2025-02-18,0.29314663077091296,0.6700563029242338,-1.1021445401266203,-1.3821337177928923,-1.5587840557954569,-1.7858435869860048
2025-02-19,0.23522760284260258,0.6322456155497835,-1.0399514938612275,-1.3041411286849545,-1.4708232436058817,-1.6850700053145704
2025-02-20,-0.41690424344764665,0.5986431408056151,-0.9846803414037368,-1.2348288736662134,-1.3926521979222743,-1.595512211787602
2025-02-21,-1.7252150441072978,0.6202964401111886,-1.020296849301975,-1.2794934114686114,-1.4430253047277652,-1.6532228930142203
2025-02-24,-0.45606580502868255,1.0943337239054785,-1.8000187948612372,-2.2572961879871256,-2.545800932098706,-2.916633802756862
2025-02-25,-0.4985563759225542,1.0354253361154955,-1.70312311954702,-2.135785102023114,-2.4087595294003057,-2.7596303299213543
2025-02-26,0.05045193024182382,0.991966682503545,-1.6316399955309755,-2.0461423806207146,-2.3076595829614677,-2.643803708317701
2025-02-27,-1.6090694407467687,0.9105554448970525,-1.4977304260793283,-1.8782143781347722,-2.11826872343257,-2.4268253201529264
2025-02-28,1.5485199007902573,1.199878359522788,-1.9736242715616403,-2.4750044596386545,-2.7913344707834495,-3.1979328664853317
2025-03-03,-1.7675268140930456,1.1618648461427403,-1.9110976062053007,-2.396593498731275,-2.7029018147469523,-3.096618710059523
2025-03-04,-1.1907507261229355,1.4224651940552122,-2.3397470336539454,-2.934137174011222,-3.309148880087435,-3.791174463142908
2025-03-05,1.0690354858783557,1.4458710059307853,-2.378246168209226,-2.982416641937076,-3.3635989407843745,-3.853555965792424
2025-03-06,-1.7910329035776051,1.3382767334949304,-2.201269338953905,-2.7604805581691947,-3.113297233844252,-3.5667941808686225
2025-03-07,0.5589106079687767,1.551183896776663,-2.551470458681812,-3.199646890680499,-3.608593360512777,-4.134237380060583
2025-03-10,-2.699659929296594,1.4112410404356854,-2.3212849438634064,-2.910984968586793,-3.283037594176741,-3.761259689304799
2025-03-11,-0.8347814223819583,1.9264588282200574,-3.1687427907704446,-3.9737312981052604,-4.48161339945694,-5.134425463882815
2025-03-12,0.5292522932692556,1.8007471820437184,-2.9619655336072532,-3.714424275484484,-4.189164378632439,-4.7993769968305555
2025-03-13,-1.3419953983158095,1.6318068843885287,-2.6840834722708533,-3.365948959807007,-3.796150476342462,-4.349114913130491
2025-03-14,2.0445277681773177,1.6469860011438129,-2.709050897519702,-3.3972591183447824,-3.8314623823359346,-4.389570510958964
2025-03-17,0.7681526477030687,1.576875476352614,-2.5937293465294275,-3.2526412409169096,-3.6683609120400416,-4.202710943289554
2025-03-18,-1.0867062696459762,1.4413144254553338,-2.3707512602876832,-2.973017725031924,-3.3529987494824116,-3.8414117027131005
2025-03-19,1.0831797436465784,1.4376902168035706,-2.364789967542001,-2.9655420234288528,-3.344567579390302,-3.8317524102769207
2025-03-20,-0.28957726501657177,1.337953897128206,-2.2007383203851862,-2.759814639460823,-3.1125462041488596,-3.5659337527931836
2025-03-21,0.03297563774022905,1.2306836408271298,-2.0242944502443474,-2.538546907923989,-2.862998271455035,-3.2800355402794166
2025-03-24,1.7750193730790897,1.1213181870189421,-1.844404286884756,-2.312957385654979,-2.608576180494846,-2.9885531775752625
2025-03-25,0.24007823092286884,1.1142223741573785,-1.8327327133632443,-2.2983207615857553,-2.5920688513297554,-2.9696413162317103
2025-03-26,-1.2010067262382407,1.0189308831314,-1.6759921587315498,-2.1017617825999904,-2.3703876937672885,-2.715669079271317
2025-03-27,-0.2659175998708463,1.141547511888815,-1.8776785652677461,-2.354684673151294,-2.655636627399156,-3.0424686618864425
2025-03-28,-2.0343823330424726,1.056533386376468,-1.7378427725766548,-2.1793249476379324,-2.4578641972500668,-2.8158878056406724
2025-03-31,0.6690341369994357,1.4528953756552674,-2.389800228227588,-2.9969058993324325,-3.3799400683594,-3.87227741587108
2025-04-01,0.28204874356632104,1.3293870544634463,-2.186647118156534,-2.7421437033763225,-3.092616747928454,-3.5431012818996015
2025-04-02,0.6308384306951353,1.2118085417780324,-1.9932476751143713,-2.4996129993724447,-2.819088224909857,-3.2297293578833264
2025-04-03,-5.053641993379987,1.1151961889472832,-1.8343344961523982,-2.300329461825032,-2.59433428329596,-2.9722367412577473
2025-04-04,-6.0326675171205935,2.8390934116562385,-4.669893095416793,-5.856234341933275,-6.604718922409848,-7.566792133636295
2025-04-07,-0.17827202215734417,4.115293093783677,-6.769054771278427,-8.488667771194448,-9.57360333977861,-10.968137674443142
2025-04-08,-1.578679439578412,3.7035787419288693,-6.091844926362071,-7.639419304588918,-8.615812532629077,-9.870830729159252
2025-04-09,9.986284608912044,3.4454733722043422,-5.667299372835032,-7.107022052771696,-8.015369654491899,-9.18292462742183
2025-04-10,-4.4808164846050325,3.983764339368182,-6.55270922252969,-8.217361724906107,-9.267621701568885,-10.617585367790593
2025-04-11,1.768539500640376,4.326356357847549,-7.116222946690102,-8.924030669173318,-10.06460991542172,-11.530666487218774
2025-04-14,0.9654795728337717,3.911693918899784,-6.434163930026328,-8.068701145563498,-9.099960832130996,-10.425502258291917
2025-04-15,-0.28047392406680416,3.527946165097435,-5.802955045350053,-7.277139738943186,-8.207230060904955,-9.402732287832135
2025-04-16,-2.2478915868915372,3.1827006092765515,-5.235076640669196,-6.56499730921643,-7.404068796098994,-8.482578922947125
2025-04-17,0.14259098046638385,3.1182041516720083,-5.128989408452841,-6.431959640076679,-7.254027599067499,-8.310682046977567
2025-04-21,-2.4090503650422868,2.8113774770528632,-4.624304439860081,-5.799064328654855,-6.540242016868231,-7.492923230601205
2025-04-22,2.568499541701641,2.8522892637821213,-4.691598340646767,-5.883453595119308,-6.635417064949053,-7.601961906371779
2025-04-23,1.5376643965653969,2.6501691294677325,-4.359140304639825,-5.466537805413897,-6.165215320185926,-7.063268450178866
2025-04-24,2.08305470155139,2.4190263507413174,-3.97894426670804,-4.989756635372066,-5.627496808295837,-6.44722342938698
2025-04-25,0.7199174694128452,2.2376204723364745,-3.6805581496635167,-4.6155684066292615,-5.205483628730219,-5.963737902608071
2025-04-28,0.0381229416225537,2.0226755349331773,-3.327005189780846,-4.172198731338598,-4.705446930566217,-5.390863598849464
2025-04-29,0.6279694536599045,1.820728755264518,-2.9948322967916816,-3.7556405224811744,-4.235648469014637,-4.8526321699235115
2025-04-30,0.03967340036314937,1.6460278686390066,-2.7074749097940716,-3.3952827661558294,-3.8292334328203292,-4.387016882582179
